    refcode     , atomname_cation , oxidation_state , atomname_anion , distance 
 ABAXAC         , Fe1             ,               3 , Cl1            ,    2.342
 ABAXAC         , Fe1             ,               3 , O1             ,    1.819
 ABAXAC         , Fe1             ,               3 , N3             ,    2.258
 ABAXAC         , Fe1             ,               3 , N2             ,    2.413
 ABAXAC         , Fe1             ,               3 , N1             ,    2.236
 ABAXAC         , Fe1             ,               3 , Cl2            ,    2.378
 ABAXAC         , Fe1D            ,               3 , Cl2D           ,    2.378
 ABAXAC         , Fe1D            ,               3 , Cl1D           ,    2.342
 ABAXAC         , Fe1D            ,               3 , N3D            ,    2.258
 ABAXAC         , Fe1D            ,               3 , N2D            ,    2.413
 ABAXAC         , Fe1D            ,               3 , N1D            ,    2.236
 ABAXAC         , Fe1D            ,               3 , O1             ,    1.819
 ABECIT         , Fe1             ,               3 , O3             ,    1.869
 ABECIT         , Fe1             ,               3 , O1             ,    2.169
 ABECIT         , Fe1             ,               3 , N1             ,    2.071
 ABECIT         , Fe1             ,               3 , Cl1            ,    2.338
 ABECIT         , Fe1             ,               3 , O2A            ,    1.975
 ABECIT         , Fe1             ,               3 , O2             ,    2.065
 ABECIT         , Fe1A            ,               3 , Cl1A           ,    2.338
 ABECIT         , Fe1A            ,               3 , N1A            ,    2.071
 ABECIT         , Fe1A            ,               3 , O3A            ,    1.869
 ABECIT         , Fe1A            ,               3 , O1A            ,    2.169
 ABECIT         , Fe1A            ,               3 , O2A            ,    2.065
 ABECIT         , Fe1A            ,               3 , O2             ,    1.975
 ABIJAX         , Fe1             ,               3 , S2             ,    2.285
 ABIJAX         , Fe1             ,               3 , S1             ,     2.27
 ABIJAX         , Fe1             ,               3 , N2             ,    1.681
 ABIJAX         , Fe1             ,               3 , N1             ,    1.657
 ABIJAX         , Fe2             ,               3 , S4             ,    2.261
 ABIJAX         , Fe2             ,               3 , S3             ,    2.279
 ABIJAX         , Fe2             ,               3 , N5             ,    1.668
 ABIJAX         , Fe2             ,               3 , N6             ,    1.672
 ABIJEB         , Fe1             ,               3 , N2             ,    2.076
 ABIJEB         , Fe1             ,               3 , S1             ,    2.236
 ABIJEB         , Fe1             ,               3 , N3             ,    1.697
 ABIJEB         , Fe1             ,               3 , S2             ,    2.251
 ABIJEB         , Fe1             ,               3 , H13            ,    2.571
 ABIJEB         , Fe1             ,               3 , O1             ,    2.781
 ABIJEB         , Fe1             ,               3 , N1             ,    2.072
 ABIJIF         , Fe1             ,               3 , N1             ,    1.666
 ABIJIF         , Fe1             ,               3 , N2             ,    1.679
 ABIJIF         , Fe1             ,               3 , S3             ,    2.248
 ABIJIF         , Fe1             ,               3 , Fe2            ,    2.687
 ABIJIF         , Fe1             ,               3 , S1             ,    2.255
 ABIJIF         , Fe1A            ,               3 , S1A            ,    2.255
 ABIJIF         , Fe1A            ,               3 , S3A            ,    2.248
 ABIJIF         , Fe1A            ,               3 , Fe2A           ,    2.687
 ABIJIF         , Fe1A            ,               3 , N2A            ,    1.679
 ABIJIF         , Fe1A            ,               3 , N1A            ,    1.666
 ABIJIF         , Fe2             ,               3 , S1             ,    2.256
 ABIJIF         , Fe2             ,               3 , N4             ,    1.676
 ABIJIF         , Fe2             ,               3 , N3             ,    1.666
 ABIJIF         , Fe2             ,               3 , S3             ,    2.254
 ABIJIF         , Fe2A            ,               3 , S1A            ,    2.256
 ABIJIF         , Fe2A            ,               3 , S3A            ,    2.254
 ABIJIF         , Fe2A            ,               3 , N4A            ,    1.676
 ABIJIF         , Fe2A            ,               3 , N3A            ,    1.666
 ABIJIF         , Fe3             ,               3 , N6             ,    1.672
 ABIJIF         , Fe3             ,               3 , N5             ,     1.67
 ABIJIF         , Fe3             ,               3 , S6             ,    2.246
 ABIJIF         , Fe3             ,               3 , S4             ,    2.254
 ABIJIF         , Fe3             ,               3 , Fe4            ,    2.667
 ABIJIF         , Fe3A            ,               3 , S4A            ,    2.254
 ABIJIF         , Fe3A            ,               3 , S6A            ,    2.246
 ABIJIF         , Fe3A            ,               3 , N6A            ,    1.672
 ABIJIF         , Fe3A            ,               3 , N5A            ,     1.67
 ABIJIF         , Fe3A            ,               3 , Fe4A           ,    2.667
 ABIJIF         , Fe4             ,               3 , N7             ,    1.671
 ABIJIF         , Fe4             ,               3 , N8             ,    1.668
 ABIJIF         , Fe4             ,               3 , S4             ,    2.252
 ABIJIF         , Fe4             ,               3 , S6             ,    2.249
 ABIJIF         , Fe4A            ,               3 , N8A            ,    1.668
 ABIJIF         , Fe4A            ,               3 , N7A            ,    1.671
 ABIJIF         , Fe4A            ,               3 , S6A            ,    2.249
 ABIJIF         , Fe4A            ,               3 , S4A            ,    2.252
 ABIVUC         , Fe1             ,               3 , N1             ,    2.065
 ABIVUC         , Fe1             ,               3 , N2             ,     2.08
 ABIVUC         , Fe1             ,               3 , O1             ,    2.142
 ABIVUC         , Fe1             ,               3 , O2             ,    2.145
 ABIVUC         , Fe1             ,               3 , O4C            ,    2.041
 ABIVUC         , Fe1             ,               3 , O5             ,    2.044
 ABIVUC         , Fe1B            ,               3 , O1B            ,    2.142
 ABIVUC         , Fe1B            ,               3 , O2B            ,    2.145
 ABIVUC         , Fe1B            ,               3 , N2B            ,     2.08
 ABIVUC         , Fe1B            ,               3 , O5B            ,    2.044
 ABIVUC         , Fe1B            ,               3 , N1B            ,    2.065
 ABIVUC         , Fe1B            ,               3 , O4A            ,    2.041
 ABIZOA         , Fe1             ,               3 , N1             ,     1.96
 ABIZOA         , Fe1             ,               3 , N3             ,    2.101
 ABIZOA         , Fe1             ,               3 , N4             ,    2.101
 ABIZOA         , Fe1             ,               3 , O1             ,    2.046
 ABIZOA         , Fe1             ,               3 , N2             ,    2.332
 ABIZOA         , Fe1             ,               3 , O1A            ,    1.944
 ABIZOA         , Fe1A            ,               3 , O1             ,    1.944
 ABIZOA         , Fe1A            ,               3 , O1A            ,    2.046
 ABIZOA         , Fe1A            ,               3 , N2A            ,    2.332
 ABIZOA         , Fe1A            ,               3 , N3A            ,    2.101
 ABIZOA         , Fe1A            ,               3 , N4A            ,    2.101
 ABIZOA         , Fe1A            ,               3 , N1A            ,     1.96
 ABIZOA         , Fe2             ,               3 , O2A            ,    1.939
 ABIZOA         , Fe2             ,               3 , N10            ,    2.323
 ABIZOA         , Fe2             ,               3 , N11            ,     2.09
 ABIZOA         , Fe2             ,               3 , O2             ,    2.029
 ABIZOA         , Fe2             ,               3 , N12            ,    2.066
 ABIZOA         , Fe2             ,               3 , N9             ,    2.003
 ABIZOA         , Fe2A            ,               3 , N9A            ,    2.003
 ABIZOA         , Fe2A            ,               3 , N12A           ,    2.066
 ABIZOA         , Fe2A            ,               3 , N11A           ,     2.09
 ABIZOA         , Fe2A            ,               3 , N10A           ,    2.323
 ABIZOA         , Fe2A            ,               3 , O2A            ,    2.029
 ABIZOA         , Fe2A            ,               3 , O2             ,    1.939
 ABOKIL         , Fe1             ,               3 , O5             ,    1.975
 ABOKIL         , Fe1             ,               3 , O5F            ,    1.975
 ABOKIL         , Fe1             ,               3 , O1F            ,    1.996
 ABOKIL         , Fe1             ,               3 , O3F            ,    1.984
 ABOKIL         , Fe1             ,               3 , O3             ,    1.984
 ABOKIL         , Fe1             ,               3 , O1             ,    1.996
 ABOKIL         , Fe2             ,               3 , N2             ,    2.288
 ABOKIL         , Fe2             ,               3 , O4             ,     1.92
 ABOKIL         , Fe2             ,               3 , O1             ,        2
 ABOKIL         , Fe2             ,               3 , O3             ,    1.996
 ABOKIL         , Fe2             ,               3 , N1             ,    2.303
 ABOKIL         , Fe2             ,               3 , O2             ,    1.905
 ABOKIL         , Fe2F            ,               3 , O2F            ,    1.905
 ABOKIL         , Fe2F            ,               3 , O4F            ,     1.92
 ABOKIL         , Fe2F            ,               3 , N2F            ,    2.288
 ABOKIL         , Fe2F            ,               3 , N1F            ,    2.303
 ABOKIL         , Fe2F            ,               3 , O3F            ,    1.996
 ABOKIL         , Fe2F            ,               3 , O1F            ,        2
 ABOKIL         , Fe3             ,               3 , N3             ,    2.264
 ABOKIL         , Fe3             ,               3 , O5             ,    2.014
 ABOKIL         , Fe3             ,               3 , O5F            ,    2.014
 ABOKIL         , Fe3             ,               3 , O6F            ,    1.899
 ABOKIL         , Fe3             ,               3 , N3F            ,    2.264
 ABOKIL         , Fe3             ,               3 , O6             ,    1.899
 ABOKOR         , Fe1             ,               3 , O2             ,    1.906
 ABOKOR         , Fe1             ,               3 , O4             ,    1.913
 ABOKOR         , Fe1             ,               3 , N2             ,    2.296
 ABOKOR         , Fe1             ,               3 , N1             ,    2.296
 ABOKOR         , Fe1             ,               3 , O3             ,    1.999
 ABOKOR         , Fe1             ,               3 , O1             ,    2.005
 ABOKOR         , Fe1F            ,               3 , N1F            ,    2.296
 ABOKOR         , Fe1F            ,               3 , O3F            ,    1.999
 ABOKOR         , Fe1F            ,               3 , O1F            ,    2.005
 ABOKOR         , Fe1F            ,               3 , O4F            ,    1.913
 ABOKOR         , Fe1F            ,               3 , O2F            ,    1.906
 ABOKOR         , Fe1F            ,               3 , N2F            ,    2.296
 ABOKOR         , Fe2             ,               3 , O6             ,    1.898
